Library	Run	Well
RNhi10371	1772-062-248	A01
RNhi10371	1772-062-248	A02
RNhi10371	1772-062-248	A03
RNhi10371	1772-062-248	A04
RNhi10371	1772-062-248	A05
RNhi10371	1772-062-248	A06
RNhi10371	1772-062-248	A07
RNhi10371	1772-062-248	A08
RNhi10371	1772-062-248	A09
RNhi10371	1772-062-248	A10
RNhi10371	1772-062-248	A11
RNhi10371	1772-062-248	A12
RNhi10371	1772-062-248	B01
RNhi10371	1772-062-248	B02
RNhi10371	1772-062-248	B03
RNhi10371	1772-062-248	B04
RNhi10371	1772-062-248	B05
RNhi10371	1772-062-248	B06
RNhi10371	1772-062-248	B07
RNhi10371	1772-062-248	B08
RNhi10371	1772-062-248	B09
RNhi10371	1772-062-248	B10
RNhi10371	1772-062-248	B11
RNhi10371	1772-062-248	B12
RNhi10371	1772-062-248	C01
RNhi10371	1772-062-248	C02
RNhi10371	1772-062-248	C03
RNhi10371	1772-062-248	C04
RNhi10371	1772-062-248	C05
RNhi10371	1772-062-248	C06
RNhi10371	1772-062-248	C07
RNhi10371	1772-062-248	C08
RNhi10371	1772-062-248	C09
RNhi10371	1772-062-248	C10
RNhi10371	1772-062-248	C11
RNhi10371	1772-062-248	C12
RNhi10371	1772-062-248	D01
RNhi10371	1772-062-248	D02
RNhi10371	1772-062-248	D03
RNhi10371	1772-062-248	D04
RNhi10371	1772-062-248	D05
RNhi10371	1772-062-248	D06
RNhi10371	1772-062-248	D07
RNhi10371	1772-062-248	D08
RNhi10371	1772-062-248	D09
RNhi10371	1772-062-248	D10
RNhi10371	1772-062-248	D11
RNhi10371	1772-062-248	D12
RNhi10371	1772-062-248	E01
RNhi10371	1772-062-248	E02
RNhi10371	1772-062-248	E03
RNhi10371	1772-062-248	E04
RNhi10371	1772-062-248	E05
RNhi10371	1772-062-248	E06
RNhi10371	1772-062-248	E07
RNhi10371	1772-062-248	E08
RNhi10371	1772-062-248	E09
RNhi10371	1772-062-248	E10
RNhi10371	1772-062-248	E11
RNhi10371	1772-062-248	E12
RNhi10371	1772-062-248	F01
RNhi10371	1772-062-248	F02
RNhi10371	1772-062-248	F03
RNhi10371	1772-062-248	F04
RNhi10371	1772-062-248	F05
RNhi10371	1772-062-248	F06
RNhi10371	1772-062-248	F07
RNhi10371	1772-062-248	F08
RNhi10371	1772-062-248	F09
RNhi10371	1772-062-248	F10
RNhi10371	1772-062-248	F11
RNhi10371	1772-062-248	F12
RNhi10371	1772-062-248	G01
RNhi10371	1772-062-248	G02
RNhi10371	1772-062-248	G03
RNhi10371	1772-062-248	G04
RNhi10371	1772-062-248	G05
RNhi10371	1772-062-248	G06
RNhi10371	1772-062-248	G07
RNhi10371	1772-062-248	G08
RNhi10371	1772-062-248	G09
RNhi10371	1772-062-248	G10
RNhi10371	1772-062-248	G11
RNhi10371	1772-062-248	G12
RNhi10371	1772-062-248	H01
RNhi10371	1772-062-248	H02
RNhi10371	1772-062-248	H03
RNhi10371	1772-062-248	H04
RNhi10371	1772-062-248	H05
RNhi10371	1772-062-248	H06
RNhi10371	1772-062-248	H07
RNhi10371	1772-062-248	H08
RNhi10371	1772-062-248	H09
RNhi10371	1772-062-248	H10
RNhi10371	1772-062-248	H11
RNhi10371	1772-062-248	H12
RNhi10372	1772-062-249	A01
RNhi10372	1772-062-249	A02
RNhi10372	1772-062-249	A03
RNhi10372	1772-062-249	A04
RNhi10372	1772-062-249	A05
RNhi10372	1772-062-249	A06
RNhi10372	1772-062-249	A07
RNhi10372	1772-062-249	A08
RNhi10372	1772-062-249	A09
RNhi10372	1772-062-249	A10
RNhi10372	1772-062-249	A11
RNhi10372	1772-062-249	A12
RNhi10372	1772-062-249	B01
RNhi10372	1772-062-249	B02
RNhi10372	1772-062-249	B03
RNhi10372	1772-062-249	B04
RNhi10372	1772-062-249	B05
RNhi10372	1772-062-249	B06
RNhi10372	1772-062-249	B07
RNhi10372	1772-062-249	B08
RNhi10372	1772-062-249	B09
RNhi10372	1772-062-249	B10
RNhi10372	1772-062-249	B11
RNhi10372	1772-062-249	B12
RNhi10372	1772-062-249	C01
RNhi10372	1772-062-249	C02
RNhi10372	1772-062-249	C03
RNhi10372	1772-062-249	C04
RNhi10372	1772-062-249	C05
RNhi10372	1772-062-249	C06
RNhi10372	1772-062-249	C07
RNhi10372	1772-062-249	C08
RNhi10372	1772-062-249	C09
RNhi10372	1772-062-249	C10
RNhi10372	1772-062-249	C11
RNhi10372	1772-062-249	C12
RNhi10372	1772-062-249	D01
RNhi10372	1772-062-249	D02
RNhi10372	1772-062-249	D03
RNhi10372	1772-062-249	D04
RNhi10372	1772-062-249	D05
RNhi10372	1772-062-249	D06
RNhi10372	1772-062-249	D07
RNhi10372	1772-062-249	D08
RNhi10372	1772-062-249	D09
RNhi10372	1772-062-249	D10
RNhi10372	1772-062-249	D11
RNhi10372	1772-062-249	D12
RNhi10372	1772-062-249	E01
RNhi10372	1772-062-249	E02
RNhi10372	1772-062-249	E03
RNhi10372	1772-062-249	E04
RNhi10372	1772-062-249	E05
RNhi10372	1772-062-249	E06
RNhi10372	1772-062-249	E07
RNhi10372	1772-062-249	E08
RNhi10372	1772-062-249	E09
RNhi10372	1772-062-249	E10
RNhi10372	1772-062-249	E11
RNhi10372	1772-062-249	E12
RNhi10372	1772-062-249	F01
RNhi10372	1772-062-249	F02
RNhi10372	1772-062-249	F03
RNhi10372	1772-062-249	F04
RNhi10372	1772-062-249	F05
RNhi10372	1772-062-249	F06
RNhi10372	1772-062-249	F07
RNhi10372	1772-062-249	F08
RNhi10372	1772-062-249	F09
RNhi10372	1772-062-249	F10
RNhi10372	1772-062-249	F11
RNhi10372	1772-062-249	F12
RNhi10372	1772-062-249	G01
RNhi10372	1772-062-249	G02
RNhi10372	1772-062-249	G03
RNhi10372	1772-062-249	G04
RNhi10372	1772-062-249	G05
RNhi10372	1772-062-249	G06
RNhi10372	1772-062-249	G07
RNhi10372	1772-062-249	G08
RNhi10372	1772-062-249	G09
RNhi10372	1772-062-249	G10
RNhi10372	1772-062-249	G11
RNhi10372	1772-062-249	G12
RNhi10372	1772-062-249	H01
RNhi10372	1772-062-249	H02
RNhi10372	1772-062-249	H03
RNhi10372	1772-062-249	H04
RNhi10372	1772-062-249	H05
RNhi10372	1772-062-249	H06
RNhi10372	1772-062-249	H07
RNhi10372	1772-062-249	H08
RNhi10372	1772-062-249	H09
RNhi10372	1772-062-249	H10
RNhi10372	1772-062-249	H11
RNhi10372	1772-062-249	H12
RNhi10395	1772-064-103	A01
RNhi10395	1772-064-103	A02
RNhi10395	1772-064-103	A03
RNhi10395	1772-064-103	A04
RNhi10395	1772-064-103	A05
RNhi10395	1772-064-103	A06
RNhi10395	1772-064-103	A07
RNhi10395	1772-064-103	A08
RNhi10395	1772-064-103	A10
RNhi10395	1772-064-103	A11
RNhi10395	1772-064-103	A12
RNhi10395	1772-064-103	B01
RNhi10395	1772-064-103	B02
RNhi10395	1772-064-103	B03
RNhi10395	1772-064-103	B04
RNhi10395	1772-064-103	B05
RNhi10395	1772-064-103	B06
RNhi10395	1772-064-103	B07
RNhi10395	1772-064-103	B08
RNhi10395	1772-064-103	B10
RNhi10395	1772-064-103	B11
RNhi10395	1772-064-103	B12
RNhi10395	1772-064-103	C01
RNhi10395	1772-064-103	C02
RNhi10395	1772-064-103	C03
RNhi10395	1772-064-103	C04
RNhi10395	1772-064-103	C05
RNhi10395	1772-064-103	C06
RNhi10395	1772-064-103	C07
RNhi10395	1772-064-103	C08
RNhi10395	1772-064-103	C10
RNhi10395	1772-064-103	C11
RNhi10395	1772-064-103	C12
RNhi10395	1772-064-103	D01
RNhi10395	1772-064-103	D02
RNhi10395	1772-064-103	D03
RNhi10395	1772-064-103	D04
RNhi10395	1772-064-103	D05
RNhi10395	1772-064-103	D06
RNhi10395	1772-064-103	D07
RNhi10395	1772-064-103	D08
RNhi10395	1772-064-103	D10
RNhi10395	1772-064-103	D11
RNhi10395	1772-064-103	D12
RNhi10395	1772-064-103	E01
RNhi10395	1772-064-103	E02
RNhi10395	1772-064-103	E03
RNhi10395	1772-064-103	E04
RNhi10395	1772-064-103	E05
RNhi10395	1772-064-103	E06
RNhi10395	1772-064-103	E07
RNhi10395	1772-064-103	E08
RNhi10395	1772-064-103	E10
RNhi10395	1772-064-103	E11
RNhi10395	1772-064-103	E12
RNhi10395	1772-064-103	F01
RNhi10395	1772-064-103	F02
RNhi10395	1772-064-103	F03
RNhi10395	1772-064-103	F04
RNhi10395	1772-064-103	F05
RNhi10395	1772-064-103	F06
RNhi10395	1772-064-103	F07
RNhi10395	1772-064-103	F08
RNhi10395	1772-064-103	F10
RNhi10395	1772-064-103	F11
RNhi10395	1772-064-103	F12
RNhi10395	1772-064-103	G01
RNhi10395	1772-064-103	G02
RNhi10395	1772-064-103	G03
RNhi10395	1772-064-103	G04
RNhi10395	1772-064-103	G05
RNhi10395	1772-064-103	G06
RNhi10395	1772-064-103	G07
RNhi10395	1772-064-103	G08
RNhi10395	1772-064-103	G10
RNhi10395	1772-064-103	G11
RNhi10395	1772-064-103	G12
RNhi10395	1772-064-103	H01
RNhi10395	1772-064-103	H02
RNhi10395	1772-064-103	H03
RNhi10395	1772-064-103	H04
RNhi10395	1772-064-103	H05
RNhi10395	1772-064-103	H06
RNhi10395	1772-064-103	H07
RNhi10395	1772-064-103	H08
RNhi10395	1772-064-103	H10
RNhi10395	1772-064-103	H11
RNhi10395	1772-064-103	H12
RNhi10396	1772-067-038	A01
RNhi10396	1772-067-038	A02
RNhi10396	1772-067-038	A03
RNhi10396	1772-067-038	A04
RNhi10396	1772-067-038	A05
RNhi10396	1772-067-038	A06
RNhi10396	1772-067-038	A07
RNhi10396	1772-067-038	A08
RNhi10396	1772-067-038	A09
RNhi10396	1772-067-038	A10
RNhi10396	1772-067-038	A11
RNhi10396	1772-067-038	A12
RNhi10396	1772-067-038	B01
RNhi10396	1772-067-038	B02
RNhi10396	1772-067-038	B03
RNhi10396	1772-067-038	B04
RNhi10396	1772-067-038	B05
RNhi10396	1772-067-038	B06
RNhi10396	1772-067-038	B07
RNhi10396	1772-067-038	B08
RNhi10396	1772-067-038	B09
RNhi10396	1772-067-038	B10
RNhi10396	1772-067-038	B11
RNhi10396	1772-067-038	B12
RNhi10396	1772-067-038	C01
