"run","well","row","column","concentration"
"1772-062-248","A01","A","01",3.743
"1772-062-248","B01","B","01",3.099
"1772-062-248","C01","C","01",4.19
"1772-062-248","D01","D","01",4.76
"1772-062-248","E01","E","01",4.742
"1772-062-248","F01","F","01",4.244
"1772-062-248","G01","G","01",3.408
"1772-062-248","H01","H","01",3.37
"1772-062-248","A02","A","02",0.173
"1772-062-248","B02","B","02",3.935
"1772-062-248","C02","C","02",0.095
"1772-062-248","D02","D","02",4.299
"1772-062-248","E02","E","02",3.243
"1772-062-248","F02","F","02",3.083
"1772-062-248","G02","G","02",3.632
"1772-062-248","H02","H","02",3.506
"1772-062-248","A03","A","03",2.832
"1772-062-248","B03","B","03",3.927
"1772-062-248","C03","C","03",2.545
"1772-062-248","D03","D","03",3.198
"1772-062-248","E03","E","03",2.339
"1772-062-248","F03","F","03",3.152
"1772-062-248","G03","G","03",2.969
"1772-062-248","H03","H","03",3.152
"1772-062-248","A04","A","04",3.739
"1772-062-248","B04","B","04",2.192
"1772-062-248","C04","C","04",4.009
"1772-062-248","D04","D","04",3.174
"1772-062-248","E04","E","04",0.12
"1772-062-248","F04","F","04",0.122
"1772-062-248","G04","G","04",3.526
"1772-062-248","H04","H","04",3.402
"1772-062-248","A05","A","05",4.2
"1772-062-248","B05","B","05",3.958
"1772-062-248","C05","C","05",3.756
"1772-062-248","D05","D","05",3.756
"1772-062-248","E05","E","05",2.254
"1772-062-248","F05","F","05",2.352
"1772-062-248","G05","G","05",2.978
"1772-062-248","H05","H","05",3.604
"1772-062-248","A06","A","06",4.485
"1772-062-248","B06","B","06",0.101
"1772-062-248","C06","C","06",3.064
"1772-062-248","D06","D","06",2.657
"1772-062-248","E06","E","06",3.498
"1772-062-248","F06","F","06",3.339
"1772-062-248","G06","G","06",3.613
"1772-062-248","H06","H","06",0.115
"1772-062-248","A07","A","07",2.444
"1772-062-248","B07","B","07",0.243
"1772-062-248","C07","C","07",3.155
"1772-062-248","D07","D","07",0.108
"1772-062-248","E07","E","07",3.248
"1772-062-248","F07","F","07",3.384
"1772-062-248","G07","G","07",2.921
"1772-062-248","H07","H","07",3.995
"1772-062-248","A08","A","08",0.091
"1772-062-248","B08","B","08",2.229
"1772-062-248","C08","C","08",0.116
"1772-062-248","D08","D","08",3.17
"1772-062-248","E08","E","08",3.178
"1772-062-248","F08","F","08",3.242
"1772-062-248","G08","G","08",3.599
"1772-062-248","H08","H","08",4.319
"1772-062-248","A09","A","09",4.404
"1772-062-248","B09","B","09",0.099
"1772-062-248","C09","C","09",4.217
"1772-062-248","D09","D","09",4.209
"1772-062-248","E09","E","09",3.168
"1772-062-248","F09","F","09",3.475
"1772-062-248","G09","G","09",3.392
"1772-062-248","H09","H","09",3.568
"1772-062-248","A10","A","10",0.046
"1772-062-248","B10","B","10",4.557
"1772-062-248","C10","C","10",2.505
"1772-062-248","D10","D","10",3.512
"1772-062-248","E10","E","10",4.259
"1772-062-248","F10","F","10",2.524
"1772-062-248","G10","G","10",3.799
"1772-062-248","H10","H","10",3.079
"1772-062-248","A11","A","11",1.672
"1772-062-248","B11","B","11",3.287
"1772-062-248","C11","C","11",0.138
"1772-062-248","D11","D","11",0.116
"1772-062-248","E11","E","11",3.808
"1772-062-248","F11","F","11",2.958
"1772-062-248","G11","G","11",2.321
"1772-062-248","H11","H","11",2.375
"1772-062-248","A12","A","12",4.781
"1772-062-248","B12","B","12",4.028
"1772-062-248","C12","C","12",3.847
"1772-062-248","D12","D","12",2.908
"1772-062-248","E12","E","12",3.854
"1772-062-248","F12","F","12",2.43
"1772-062-248","G12","G","12",3.361
"1772-062-248","H12","H","12",3.622
"1772-062-249","A01","A","01",2.106
"1772-062-249","B01","B","01",2.718
"1772-062-249","C01","C","01",1.268
"1772-062-249","D01","D","01",2.429
"1772-062-249","E01","E","01",2.478
"1772-062-249","F01","F","01",2.008
"1772-062-249","G01","G","01",2.588
"1772-062-249","H01","H","01",2.139
"1772-062-249","A02","A","02",0.109
"1772-062-249","B02","B","02",2.42
"1772-062-249","C02","C","02",2.492
"1772-062-249","D02","D","02",2.962
"1772-062-249","E02","E","02",1.779
"1772-062-249","F02","F","02",2.862
"1772-062-249","G02","G","02",2.547
"1772-062-249","H02","H","02",1.844
"1772-062-249","A03","A","03",1.919
"1772-062-249","B03","B","03",2.394
"1772-062-249","C03","C","03",2.567
"1772-062-249","D03","D","03",2.791
"1772-062-249","E03","E","03",2.051
"1772-062-249","F03","F","03",0.239
"1772-062-249","G03","G","03",2.433
"1772-062-249","H03","H","03",3.07
"1772-062-249","A04","A","04",2.799
"1772-062-249","B04","B","04",2.682
"1772-062-249","C04","C","04",1.944
"1772-062-249","D04","D","04",2.459
"1772-062-249","E04","E","04",2.291
"1772-062-249","F04","F","04",2.042
"1772-062-249","G04","G","04",2.874
"1772-062-249","H04","H","04",2.27
"1772-062-249","A05","A","05",2.232
"1772-062-249","B05","B","05",3.017
"1772-062-249","C05","C","05",2.986
"1772-062-249","D05","D","05",2.631
"1772-062-249","E05","E","05",2.488
