../DDBJ/1772-062-248_F10.2.fastq.bz2	Input file name.
04-10-2015; 7:08pm	Date and Time
20.000000	selected threshold
2089862	total input reads
1833212	successfully extracted
87.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3752	low complexity
252898	match artifacts:
39944	Nextera_501
2115	Nextera_502
23	Nextera_503
7444	Nextera_504
35	Nextera_505
171070	Nextera_506
98	Nextera_507
10	Nextera_508
46	Nextera_701
1	Nextera_502_Reversed:
1	Nextera_503_Reversed:
4	rRNA_5.8S
3261	rRNA_18S
202	rRNA_28S
20485	EC2_RNA_SPIKE_1_(750_bp)
1709	EC15_RNA_SPIKE_4_(1000_bp)
272	EC18_RNA_SPIKE_7_(1474bp)
4524	HPV18
1654	HPV18_as
