../DDBJ/1772-067-039_A02.1.fastq.bz2	Input file name.
04-11-2015;10:15am	Date and Time
20.000000	selected threshold
1001479	total input reads
889099	successfully extracted
88.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6196	low complexity
106184	match artifacts:
22584	Nextera_701
78592	Nextera_702
14	Nextera_703
16	Nextera_704
14	Nextera_705
1	Nextera_706
15	Nextera_707
2	Nextera_708
21	Nextera_709
44	Nextera_710
11	Nextera_711
3	Nextera_712
2	Nextera_701_Reversed:
260	Nextera_702_Reversed:
3	Nextera_704_Reversed:
3	Nextera_706_Reversed:
3	Nextera_707_Reversed:
3	Nextera_708_Reversed:
1	Nextera_709_Reversed:
5	Nextera_710_Reversed:
2	Nextera_712_Reversed:
1	rRNA_5.8S
157	rRNA_18S
18	rRNA_28S
429	EC2_RNA_SPIKE_1_(750_bp)
1	EC3_RNA_SPIKE_3_(1000_bp)
9	EC15_RNA_SPIKE_4_(1000_bp)
1	EC18_RNA_SPIKE_7_(1474bp)
3006	HPV18
963	HPV18_as
