../DDBJ/1772-067-039_G11.2.fastq.bz2	Input file name.
04-11-2015; 1:09pm	Date and Time
20.000000	selected threshold
2096196	total input reads
1872717	successfully extracted
89.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9160	low complexity
214319	match artifacts:
46037	Nextera_501
577	Nextera_502
15	Nextera_503
8435	Nextera_504
213	Nextera_505
9337	Nextera_506
145109	Nextera_507
11	Nextera_508
4	Nextera_701
1	Nextera_507_Reversed:
1	rRNA_5.8S
1047	rRNA_18S
121	rRNA_28S
266	EC2_RNA_SPIKE_1_(750_bp)
4	EC15_RNA_SPIKE_4_(1000_bp)
2	EC13_RNA_SPIKE_6_(1250_bp)
2177	HPV18
962	HPV18_as
