 	Label	Cellcoord.X	Cellcoord.Y	area	mean.ch2	std.ch2	min.ch2	max.ch2	BGcoord.ch2.X	BGcoord.ch2.Y	bg.area.ch2	bg.mean.ch2	bg.std.ch2	bg.min.ch2	bg.max.ch2	area.ch3	mean.ch3	std.ch3	min.ch3	max.ch3	BGcoord.ch3.X	BGcoord.ch3.Y	bg.area.ch3	bg.mean.ch3	bg.std.ch3	bg.min.ch3	bg.max.ch3	Error	Comment
1	1772-062-248_A01	363	252	227.982	35.562	9.877	18	62	313	302	227.982	16.175	4.460	5	32	227.982	118.445	76.088	15	279	313	302	227.982	17.591	4.471	5	30	0-No Error	No comment
2	1772-062-248_A02	329	253	227.982	16.263	3.810	7	25	279	303	227.982	16.818	4.541	5	29	227.982	17.277	4.632	3	27	279	303	227.982	17.036	4.295	8	28	1-No cell	No comment
3	1772-062-248_A03	362	253	227.982	22	4.932	10	35	312	303	227.982	16.869	4.330	5	31	227.982	50.796	22.343	12	107	312	303	227.982	17.036	4.243	8	27	0-No Error	No comment
4	1772-062-248_A04	362	254	227.982	46.336	5.138	29	59	312	304	227.982	16.839	4.364	7	29	227.982	18.350	4.660	8	33	312	304	227.982	17.584	4.156	7	30	3-OutOfFocus	No comment
5	1772-062-248_A05	328	254	227.982	32.131	5.342	22	51	278	304	227.982	16.905	4.627	6	29	227.982	48.190	6.160	33	65	278	304	227.982	16.934	4.166	6	28	3-OutOfFocus	No comment
6	1772-062-248_A06	361	252	227.982	28.591	6.298	13	46	311	302	227.982	17.168	4.223	7	32	227.982	64.453	18.624	27	105	311	302	227.982	17.234	4.205	5	29	0-No Error	No comment
7	1772-062-248_A07	330	253	227.982	21.482	5.615	9	38	280	303	227.982	16.438	4.942	3	28	227.982	84.036	22.192	35	124	280	303	227.982	16.956	4.065	7	26	0-No Error	No comment
8	1772-062-248_A08	363	252	227.982	15.620	4.476	5	26	313	302	227.982	16.869	4.289	5	27	227.982	16.431	4.724	3	29	313	302	227.982	17.058	4.668	5	34	1-No cell	No comment
9	1772-062-248_A09	329	252	227.982	29.723	7.190	15	52	279	302	227.982	16	4.670	2	31	227.982	118.847	31.549	66	184	279	302	227.982	16.985	4.840	3	30	0-No Error	No comment
10	1772-062-248_A10	328	252	227.982	15.774	4.160	7	25	278	302	227.982	16.387	4.994	1	32	227.982	16.686	3.938	9	28	278	302	227.982	17.015	4.315	5	27	1-No cell	No comment
11	1772-062-248_A11	360	251	227.982	21.803	6.127	8	38	310	301	227.982	16.810	4.363	3	28	227.982	39.905	24.252	8	99	310	301	227.982	17.073	4.387	4	29	0-No Error	No comment
12	1772-062-248_A12	328	253	227.982	51.891	10.025	27	74	278	303	227.982	16.657	4.170	6	26	227.982	69.153	19.405	31	111	278	303	227.982	17.511	4.584	7	30	0-No Error	No comment
13	1772-062-248_B01	360	249	227.982	33.964	6.176	21	53	310	299	227.982	17.058	4.500	5	27	227.982	85.985	15.820	41	120	310	299	227.982	17.650	4.395	5	28	0-No Error	No comment
14	1772-062-248_B02	329	250	227.982	120.876	23.144	67	172	279	300	227.982	16.219	4.363	2	25	227.982	216.847	46.455	116	311	279	300	227.982	17.372	4.836	7	32	0-No Error	No comment
15	1772-062-248_B03	363	251	227.982	97.547	41.282	30	191	313	301	227.982	16.759	4.522	5	27	227.982	238.861	90.786	93	428	313	301	227.982	17.635	4.309	4	29	0-No Error	No comment
16	1772-062-248_B04	361	251	227.982	21.336	5.201	8	35	311	301	227.982	17.555	4.357	2	31	227.982	25.496	5.953	11	40	311	301	227.982	18.394	3.836	10	28	0-No Error	No comment
17	1772-062-248_B05	328	250	227.982	61.168	19.564	21	102	278	300	227.982	16.117	4.480	7	27	227.982	167.234	77.879	31	309	278	300	227.982	17.869	4.831	5	32	2-Debris	No comment
18	1772-062-248_B06	361	250	227.982	17.380	4.334	7	29	311	300	227.982	17.299	4.853	2	33	227.982	16.854	4.452	5	29	311	300	227.982	17.146	4.465	5	28	1-No cell	No comment
19	1772-062-248_B07	329	251	227.982	17.175	4.961	6	32	279	301	227.982	16.095	4.202	6	25	227.982	16.328	4.344	1	28	279	301	227.982	16.912	4.591	5	27	1-No cell	No comment
20	1772-062-248_B08	362	249	227.982	47.628	9.365	26	69	312	299	227.982	17.022	4.285	7	28	227.982	75.372	20.895	36	118	312	299	227.982	18.102	4.962	0	32	0-No Error	No comment
21	1772-062-248_B09	330	252	227.982	16.818	4.100	7	27	280	302	227.982	16.672	4.730	4	28	227.982	16.920	4.300	4	29	280	302	227.982	17.657	4.470	6	27	1-No cell	No comment
22	1772-062-248_B10	326	251	227.982	85.679	40.478	18	164	276	301	227.982	17.168	5.027	0	27	227.982	139.825	68.468	32	262	276	301	227.982	17.584	4.751	7	28	0-No Error	No comment
23	1772-062-248_B11	358	250	227.982	23.526	5.669	7	36	308	300	227.982	16.467	4.797	5	34	227.982	60.562	19.718	13	103	308	300	227.982	17.219	4.156	7	27	0-No Error	No comment
24	1772-062-248_B12	326	251	227.982	37.146	8.653	19	63	276	301	227.982	16.263	4.677	5	28	227.982	89.029	27.325	37	148	276	301	227.982	16.745	5.000	0	27	0-No Error	No comment
25	1772-062-248_C01	363	249	227.982	77.927	42.735	11	167	313	299	227.982	16.620	4.408	6	28	227.982	133.380	92.279	14	320	313	299	227.982	16.204	4.384	4	27	4-MultipleCells	No comment
26	1772-062-248_C02	330	250	227.982	17.109	5.083	5	37	280	300	227.982	17.117	4.706	5	30	227.982	16.861	3.829	3	26	280	300	227.982	18.109	4.486	7	31	1-No cell	No comment
27	1772-062-248_C03	361	249	227.982	21.204	4.694	6	33	311	299	227.982	17.073	4.119	8	28	227.982	36.723	6.271	21	56	311	299	227.982	18.036	4.254	6	29	3-OutOfFocus	No comment
28	1772-062-248_C04	359	250	227.982	30.891	5.122	17	43	309	300	227.982	16.788	4.418	1	27	227.982	105.431	13.255	66	133	309	300	227.982	17.518	4.661	2	30	3-OutOfFocus	No comment
29	1772-062-248_C05	328	251	227.982	26.314	5.186	13	41	278	301	227.982	16.109	4.330	3	26	227.982	27.766	4.589	14	44	278	301	227.982	17.839	4.862	6	30	3-OutOfFocus	No comment
30	1772-062-248_C06	359	248	227.982	76.277	63.977	10	226	309	298	227.982	16.628	4.536	6	25	227.982	146.073	147.678	11	515	309	298	227.982	17.577	4.450	6	29	0-No Error	No comment
31	1772-062-248_C07	330	249	227.982	36.672	4.508	20	48	280	299	227.982	16.854	3.792	7	28	227.982	36.606	5.448	23	52	280	299	227.982	17.161	4.415	7	28	3-OutOfFocus	No comment
32	1772-062-248_C08	250	250	227.982	16.416	4.415	6	28	200	300	227.982	17.204	4.810	7	30	227.982	17.547	4.600	4	29	200	300	227.982	16.599	4.724	6	30	3-OutOfFocus	No comment
33	1772-062-248_C09	330	250	227.982	26.693	6.269	14	43	280	300	227.982	16.255	4.583	6	29	227.982	124.934	57.827	27	252	280	300	227.982	16.818	4.533	6	32	0-No Error	No comment
34	1772-062-248_C10	329	250	227.982	16.861	4.544	5	29	279	300	227.982	15.613	4.274	5	24	227.982	16.672	4.429	6	26	279	300	227.982	17.474	4.183	7	32	3-OutOfFocus	No comment
