 	Label	Cellcoord.X	Cellcoord.Y	area	mean.ch2	std.ch2	min.ch2	max.ch2	BGcoord.ch2.X	BGcoord.ch2.Y	bg.area.ch2	bg.mean.ch2	bg.std.ch2	bg.min.ch2	bg.max.ch2	area.ch3	mean.ch3	std.ch3	min.ch3	max.ch3	bg.area.ch3	bg.mean.ch3	bg.std.ch3	bg.min.ch3	bg.max.ch3
1	1772-062-248_A01	362	252	227.982	35.920	9.803	13	62	262	302	227.982	17.285	4.780	1	28	227.982	123.044	72.046	19	279	227.982	17.314	4.906	2	29
2	1772-062-248_A02	330	253	227.982	16.401	4.059	7	30	230	303	227.982	16.861	4.358	5	28	227.982	16.985	4.651	3	27	227.982	18.124	4.338	9	31
3	1772-062-248_A03	361	253	227.982	21.562	5.245	9	35	261	303	227.982	17.372	4.293	7	27	227.982	49.927	23.105	12	107	227.982	17.650	4.732	6	31
4	1772-062-248_A04	361	254	227.982	45.613	5.593	29	59	261	304	227.982	17.139	4.521	4	29	227.982	18.299	4.787	1	33	227.982	17.839	4.734	7	30
5	1772-062-248_A05	327	253	227.982	32.482	5.196	21	51	227	303	227.982	17.387	4.388	9	30	227.982	48.007	6.315	34	65	227.982	17.847	4.467	7	30
6	1772-062-248_A06	359	251	227.982	27.175	7.537	5	46	259	301	227.982	17.504	4.401	6	32	227.982	61.774	21.441	22	105	227.982	18.204	4.184	6	28
7	1772-062-248_A07	330	253	227.982	21.482	5.615	9	38	230	303	227.982	16.745	4.449	5	28	227.982	84.036	22.192	35	124	227.982	17.292	4.175	5	28
8	1772-062-248_A08	362	251	227.982	15.686	4.450	5	26	262	301	227.982	17.204	4.429	6	29	227.982	16.277	4.752	3	29	227.982	17.672	4.634	9	30
9	1772-062-248_A09	329	252	227.982	29.723	7.190	15	52	229	302	227.982	16.453	4.492	7	28	227.982	118.847	31.549	66	184	227.982	18.197	4.199	9	32
10	1772-062-248_A10	328	252	227.982	15.774	4.160	7	25	228	302	227.982	16.832	4.285	7	28	227.982	16.686	3.938	9	28	227.982	17.423	4.277	6	26
11	1772-062-248_A11	361	251	227.982	22.036	5.992	8	38	261	301	227.982	16.474	4.323	7	28	227.982	39.818	24.351	8	99	227.982	17.934	4.653	6	31
12	1772-062-248_A12	328	252	227.982	51.511	10.632	27	74	228	302	227.982	16.482	4.542	2	26	227.982	69.818	18.775	32	111	227.982	18.190	5.048	8	33
13	1772-062-248_B01	360	249	227.982	33.964	6.176	21	53	260	299	227.982	16.328	4.215	5	27	227.982	85.985	15.820	41	120	227.982	17.628	5.053	5	31
14	1772-062-248_B02	328	250	227.982	119.956	24.243	71	172	228	300	227.982	16.723	4.302	3	28	227.982	213.051	51.811	88	311	227.982	18.234	4.186	8	27
15	1772-062-248_B03	362	250	227.982	97.365	41.291	29	191	262	300	227.982	16.095	4.369	7	28	227.982	231.131	99.923	44	428	227.982	17.248	4.614	8	28
16	1772-062-248_B04	361	250	227.982	21.241	5.301	8	35	261	300	227.982	17.241	4.627	7	32	227.982	25.526	5.904	12	40	227.982	17.920	4.471	8	29
17	1772-062-248_B05	327	251	227.982	63.964	16.852	33	102	227	301	227.982	18.752	4.014	5	31	227.982	176.460	68.965	60	309	227.982	18.934	4.430	9	32
18	1772-062-248_B06	361	249	227.982	17.496	4.322	7	29	261	299	227.982	16.015	4.076	3	27	227.982	16.650	4.569	5	29	227.982	17.234	4.714	7	30
19	1772-062-248_B07	331	250	227.982	16.818	4.692	6	32	231	300	227.982	16.927	4.245	6	28	227.982	16.394	4.479	1	29	227.982	17.766	4.331	8	29
