 	cell_id	cell_coord_x	cell_coord_y	area	mean_ch2	std_ch2	min_ch2	max_ch2	bg_coord_ch2_x	bg_coord_ch2_y	bg_area_ch2	bg_mean_ch2	bg_std_ch2	bg_min_ch2	bg_max_ch2	area_ch3	mean_ch3	std_ch3	min_ch3	max_ch3	bg_coord_ch3_x	bg_coord_ch3_y	bg_area_ch3	bg_mean_ch3	bg_std_ch3	bg_min_ch3	bg_max_ch3	Error	Comment
1	1772-062-248_A01	362	253	227.982	36.131	9.601	12	62	312	303	227.982	16.292	4.408	5	32	227.982	122.971	72.088	19	279	312	303	227.982	17.599	4.685	4	30	0-No Error	No comment
2	1772-062-248_A02	332	252	227.982	16.139	3.989	7	30	282	302	227.982	16.642	4.82	5	29	227.982	16.547	4.456	3	26	282	302	227.982	17.365	4.645	7	31	1-No cell	No comment
3	1772-062-248_A03	361	254	227.982	21.482	5.119	11	35	311	304	227.982	16.628	4.262	6	31	227.982	51.526	21.741	12	107	311	304	227.982	17.358	4.265	8	28	0-No Error	No comment
4	1772-062-248_A04	361	254	227.982	45.613	5.593	29	59	311	304	227.982	17.153	4.391	8	29	227.982	18.299	4.787	1	33	311	304	227.982	17.453	4.27	7	30	0-No Error	green fl. slightly larger than circle
5	1772-062-248_A05	328	252	227.982	32.496	5.093	22	51	278	302	227.982	16.971	4.467	6	29	227.982	47.489	6.448	32	65	278	302	227.982	16.942	4.149	6	28	4-MultipleCells	red and green fl. larger than circle
6	1772-062-248_A06	360	252	227.982	28.197	6.605	13	46	310	302	227.982	17.445	4.284	7	32	227.982	63.533	19.656	25	105	310	302	227.982	17.234	4.315	5	29	0-No Error	No comment
7	1772-062-248_A07	330	253	227.982	21.482	5.615	9	38	280	303	227.982	16.438	4.942	3	28	227.982	84.036	22.192	35	124	280	303	227.982	16.956	4.065	7	26	0-No Error	No comment
8	1772-062-248_A08	360	251	227.982	16.007	4.42	5	27	310	301	227.982	16.934	4.324	5	29	227.982	15.985	4.938	2	29	310	301	227.982	17.438	4.255	5	27	1-No cell	No comment
9	1772-062-248_A09	329	252	227.982	29.723	7.19	15	52	279	302	227.982	16	4.67	2	31	227.982	118.847	31.549	66	184	279	302	227.982	16.985	4.84	3	30	0-No Error	No comment
10	1772-062-248_A10	329	253	227.982	15.803	4.321	7	26	279	303	227.982	16.745	4.648	6	26	227.982	16.672	3.96	9	28	279	303	227.982	17.051	4.368	7	27	1-No cell	No comment
11	1772-062-248_A11	360	251	227.982	21.803	6.127	8	38	310	301	227.982	16.81	4.363	3	28	227.982	39.905	24.252	8	99	310	301	227.982	17.073	4.387	4	29	0-No Error	No comment
12	1772-062-248_A12	328	252	227.982	51.511	10.632	27	74	278	302	227.982	16.606	4.365	6	26	227.982	69.818	18.775	32	111	278	302	227.982	17.431	4.553	7	30	0-No Error	No comment
13	1772-062-248_B01	360	249	227.982	33.964	6.176	21	53	310	299	227.982	17.058	4.5	5	27	227.982	85.985	15.82	41	120	310	299	227.982	17.65	4.395	5	28	0-No Error	No comment
14	1772-062-248_B02	328	250	227.982	119.956	24.243	71	172	278	300	227.982	16.394	4.303	2	26	227.982	213.051	51.811	88	311	278	300	227.982	17.343	4.732	7	32	0-No Error	green and red fl. slightly larger than circle
15	1772-062-248_B03	362	250	227.982	97.365	41.291	29	191	312	300	227.982	16.599	4.488	5	27	227.982	231.131	99.923	44	428	312	300	227.982	17.613	4.284	4	29	0-No Error	No comment
16	1772-062-248_B04	360	251	227.982	21.27	5.235	8	35	310	301	227.982	17.62	4.305	2	31	227.982	25.431	6.039	11	40	310	301	227.982	18.489	3.935	10	28	2-Debris	No comment
17	1772-062-248_B05	328	250	227.982	61.168	19.564	21	102	278	300	227.982	16.117	4.48	7	27	227.982	167.234	77.879	31	309	278	300	227.982	17.869	4.831	5	32	4-MultipleCells	No comment
18	1772-062-248_B06	357	250	227.982	16.766	4.688	7	29	307	300	227.982	17.467	4.787	2	32	227.982	16.526	4.627	2	29	307	300	227.982	17.131	4.752	5	28	1-No cell	No comment
19	1772-062-248_B07	330	250	227.982	16.861	4.94	6	32	280	300	227.982	16.102	4.324	6	27	227.982	16.431	4.401	1	28	280	300	227.982	16.971	4.659	5	27	1-No cell	No comment
20	1772-062-248_B08	361	249	227.982	46.672	10.439	25	69	311	299	227.982	17.197	4.521	7	28	227.982	73.781	22.988	29	118	311	299	227.982	18.109	4.792	6	32	0-No Error	No comment
21	1772-062-248_B09	333	250	227.982	17.241	4.191	6	27	283	300	227.982	17.19	4.582	5	29	227.982	16.905	4.232	4	27	283	300	227.982	17.46	4.159	7	27	2-Debris	No comment
22	1772-062-248_B10	326	250	227.982	80.839	44.582	14	164	276	300	227.982	17.109	5.08	0	27	227.982	133.861	74.31	23	262	276	300	227.982	17.708	4.68	7	30	0-No Error	No comment
23	1772-062-248_B11	358	250	227.982	23.526	5.669	7	36	308	300	227.982	16.467	4.797	5	34	227.982	60.562	19.718	13	103	308	300	227.982	17.219	4.156	7	27	0-No Error	No comment
24	1772-062-248_B12	326	250	227.982	37.08	8.72	20	63	276	300	227.982	16.255	4.611	5	28	227.982	88.883	27.454	39	148	276	300	227.982	16.628	5.103	0	27	0-No Error	No comment
25	1772-062-248_C01	363	251	227.982	77.818	42.228	16	167	313	301	227.982	16.869	4.208	6	26	227.982	134.518	90.782	14	320	313	301	227.982	16.723	4.511	5	27	4-MultipleCells	No comment
26	1772-062-248_C02	331	250	227.982	17.365	5.172	5	37	281	300	227.982	16.839	4.853	5	30	227.982	16.985	3.954	3	26	281	300	227.982	18.336	4.556	7	31	1-No cell	No comment
27	1772-062-248_C03	361	249	227.982	21.204	4.694	6	33	311	299	227.982	17.073	4.119	8	28	227.982	36.723	6.271	21	56	311	299	227.982	18.036	4.254	6	29	0-No Error	green and red fl. larger than circle
28	1772-062-248_C04	359	249	227.982	30.766	5.055	17	43	309	299	227.982	16.993	4.322	1	27	227.982	104.27	14.213	66	133	309	299	227.982	17.307	4.647	2	29	0-No Error	green and red fl. slightly larger than circle
29	1772-062-248_C05	326	250	227.982	26.168	5.302	13	41	276	300	227.982	16.095	4.649	3	30	227.982	27.504	4.814	14	44	276	300	227.982	17.613	4.769	7	30	0-No Error	green and red fl. larger than circle
30	1772-062-248_C06	359	249	227.982	77.577	62.912	10	226	309	299	227.982	16.453	4.529	6	24	227.982	147.438	146.574	15	515	309	299	227.982	17.708	4.366	6	29	0-No Error	No comment
31	1772-062-248_C07	328	249	227.982	36.212	4.593	25	48	278	299	227.982	17.117	3.9	7	28	227.982	36.912	5.437	26	52	278	299	227.982	17.314	4.737	6	28	0-No Error	green and red fl. slightly larger than circle
32	1772-062-248_C08	347	254	227.982	16.168	4.58	4	25	297	304	227.982	17.591	4.39	8	30	227.982	16.723	4.718	1	34	297	304	227.982	16.861	4.796	4	27	3-OutOfFocus	No comment
33	1772-062-248_C09	329	250	227.982	26.591	6.329	13	43	279	300	227.982	16.35	4.473	7	29	227.982	128.715	53.582	39	252	279	300	227.982	16.818	4.446	6	29	0-No Error	No comment
34	1772-062-248_C10	326	250	227.982	17.212	4.448	6	29	276	300	227.982	15.423	4.39	5	27	227.982	16.883	4.366	6	27	276	300	227.982	17.533	3.933	7	27	0-No Error	"no fl., but normal cell"
35	1772-062-248_C11	357	249	227.982	16.299	4.551	5	27	307	299	227.982	16.985	4.429	4	29	227.982	17.431	5.233	3	30	307	299	227.982	16.839	4.778	5	30	1-No cell	No comment
36	1772-062-248_C12	325	249	227.982	38.022	15.427	10	80	275	299	227.982	16.693	4.323	6	27	227.982	90.971	54.569	21	219	275	299	227.982	17.255	4.317	6	28	0-No Error	No comment
37	1772-062-248_D01	361	249	227.982	18.657	4.827	6	31	311	299	227.982	16.723	3.963	6	30	227.982	46.416	6.994	29	62	311	299	227.982	17	4.452	4	29	0-No Error	red fl. much larger than circle
38	1772-062-248_D02	327	250	227.982	25.686	8.213	12	48	277	300	227.982	15.759	4.257	4	25	227.982	76.759	39.082	12	179	277	300	227.982	17.416	4.326	8	30	0-No Error	No comment
39	1772-062-248_D03	360	248	227.982	33.818	16.373	9	72	310	298	227.982	16.766	4.482	5	28	227.982	56.796	35.084	13	148	310	298	227.982	17.482	4.022	9	29	0-No Error	No comment
40	1772-062-248_D04	358	249	227.982	25.131	8.036	11	46	308	299	227.982	16.657	4.729	3	26	227.982	114.474	86.566	11	315	308	299	227.982	17.927	4.348	8	33	0-No Error	No comment
41	1772-062-248_D05	325	250	227.982	68.92	39.269	11	158	275	300	227.982	16.482	4.145	7	29	227.982	67.285	39.515	13	153	275	300	227.982	18.029	4.249	8	33	0-No Error	No comment
42	1772-062-248_D06	359	249	227.982	20.241	4.672	9	32	309	299	227.982	16.693	4.437	4	26	227.982	31.642	5.373	19	46	309	299	227.982	18.044	4.406	5	31	0-No Error	red fl. much larger than circle
43	1772-062-248_D07	326	249	227.982	15.606	4.758	2	28	276	299	227.982	14.993	4.142	5	26	227.982	15.496	4.359	3	27	276	299	227.982	15.839	4.808	5	26	1-No cell	No comment
44	1772-062-248_D08	359	248	227.982	20.599	4.642	9	33	309	298	227.982	16.445	4.74	4	35	227.982	33.146	5.534	17	57	309	298	227.982	16.387	4.21	5	26	0-No Error	green and red fl. much larger than circle
45	1772-062-248_D09	326	248	227.982	66.657	29.198	19	129	276	298	227.982	16.679	4.355	4	25	227.982	173.38	97.796	29	379	276	298	227.982	17.401	4.724	5	31	0-No Error	No comment
46	1772-062-248_D10	324	249	227.982	77.562	45.798	20	201	274	299	227.982	16.044	4.485	5	32	227.982	116.35	86.759	16	352	274	299	227.982	17.051	4.661	5	29	0-No Error	No comment
47	1772-062-248_D11	357	248	227.982	16.752	5.277	6	33	307	298	227.982	16.022	3.992	5	25	227.982	16.642	5.385	2	32	307	298	227.982	15.81	4.463	4	25	1-No cell	No comment
48	1772-062-248_D12	326	250	227.982	21.058	6.129	4	40	276	300	227.982	15.307	4.11	6	25	227.982	16.234	4.692	5	29	276	300	227.982	16.146	4.601	1	29	0-No Error	cell has flat non-circular shape
49	1772-062-248_E01	360	248	227.982	36.161	13.739	9	66	310	298	227.982	16.555	4.308	6	33	227.982	106.307	53.82	29	234	310	298	227.982	15.825	4.042	2	25	4-MultipleCells	No comment
50	1772-062-248_E02	327	249	227.982	23.19	5.118	10	37	277	299	227.982	15.533	4.536	4	27	227.982	56.883	9.348	32	78	277	299	227.982	16.956	4.749	3	31	0-No Error	No comment
51	1772-062-248_E03	359	247	227.982	17.964	4.724	5	31	309	297	227.982	16.321	4.59	3	27	227.982	39.088	10.279	19	64	309	297	227.982	16.642	4.717	4	31	0-No Error	No comment
52	1772-062-248_E04	355	248	227.982	15.672	4.588	0	27	305	298	227.982	17.219	4.539	6	29	227.982	16.577	4.454	3	29	305	298	227.982	17.788	4.504	6	29	1-No cell	No comment
53	1772-062-248_E05	323	249	227.982	29.168	6.644	13	45	273	299	227.982	15.54	4.028	3	25	227.982	69.504	16.11	32	110	273	299	227.982	16.511	4.276	4	27	4-MultipleCells	No comment
54	1772-062-248_E06	357	248	227.982	23.234	6.673	9	39	307	298	227.982	15.467	4.607	3	26	227.982	65.182	26.637	22	128	307	298	227.982	16.409	4.669	4	32	0-No Error	No comment
55	1772-062-248_E08	358	248	227.982	22.073	6.674	7	43	308	298	227.982	16.431	4.951	7	33	227.982	124.869	101.607	9	350	308	298	227.982	18.599	4.261	9	29	0-No Error	No comment
56	1772-062-248_E09	326	249	227.982	27.489	5.944	12	44	276	299	227.982	19.533	4.367	7	32	227.982	43.839	7.763	28	60	276	299	227.982	18.146	4.708	6	31	0-No Error	No comment
57	1772-062-248_E10	323	249	227.982	25.766	6.571	9	42	273	299	227.982	16.577	4.668	6	28	227.982	62.971	34.997	17	147	273	299	227.982	17.803	4.454	8	31	0-No Error	No comment
58	1772-062-248_E11	356	248	227.982	69.131	21.746	19	114	306	298	227.982	16.869	4.954	4	34	227.982	103	37.673	30	177	306	298	227.982	17.343	4.466	7	31	0-No Error	No comment
59	1772-062-248_F01	359	247	227.982	69.723	11.957	38	101	309	297	227.982	23.234	4.428	12	32	227.982	24.781	4.706	14	36	309	297	227.982	22.372	4.695	10	34	0-No Error	No comment
60	1772-062-248_F02	326	247	227.982	21.715	4.885	9	34	276	297	227.982	29.818	5.118	19	43	227.982	50.474	7.904	30	79	276	297	227.982	25.248	5.518	11	40	0-No Error	background circle area is brighter than real background
61	1772-062-248_F05	323	248	227.982	22.139	6.187	7	35	273	298	227.982	16.883	4.403	5	28	227.982	102.613	72.366	19	279	273	298	227.982	17.38	4.719	4	29	0-No Error	No comment
62	1772-062-248_F06	356	247	227.982	21.606	5.082	7	33	306	297	227.982	16.934	4.163	5	25	227.982	62.307	11.961	34	92	306	297	227.982	17.321	4.275	8	28	0-No Error	No comment
63	1772-062-249_C07	229	170	227.982	24.044	6.11	11	40	179	220	227.982	15.766	4.607	3	28	227.982	50.109	18.583	13	93	179	220	227.982	12.051	4.173	1	23	0-No Error	No comment
64	1772-062-249_C08	262	169	227.982	27.292	5.215	14	38	212	219	227.982	16.869	4.248	6	31	227.982	17.044	4.557	6	30	212	219	227.982	11.81	3.944	2	21	2-Debris	cell looks broken
65	1772-062-249_C11	260	167	227.982	24.161	7.262	5	45	210	217	227.982	17.161	4.784	6	29	227.982	69.65	52.665	10	206	210	217	227.982	11.54	4.169	2	23	4-MultipleCells	No comment
66	1772-062-249_C12	250	250	227.982	14.927	4.655	2	29	200	300	227.982	15.883	4.51	4	32	227.982	11.197	4.078	2	25	200	300	227.982	11.453	4.153	1	24	3-OutOfFocus	No comment
67	1772-062-249_D01	261	168	227.982	69.861	38.345	13	162	211	218	227.982	16.197	4.457	4	27	227.982	56.058	42.5	12	159	211	218	227.982	11.372	4.421	1	21	4-MultipleCells	No comment
68	1772-062-249_D02	228	171	227.982	42.993	11.842	18	71	178	221	227.982	15.715	4.736	6	29	227.982	71.139	23.745	27	118	178	221	227.982	11.599	3.988	0	21	0-No Error	No comment
69	1772-062-249_D03	262	169	227.982	39.182	21.418	11	86	212	219	227.982	16.336	4.484	6	26	227.982	12.642	4.429	1	25	212	219	227.982	10.599	4.111	2	22	0-No Error	No comment
70	1772-062-249_D04	259	168	227.982	24.555	6.292	7	43	209	218	227.982	16.496	4.105	8	27	227.982	58.482	25.552	15	127	209	218	227.982	12.124	4.486	0	26	0-No Error	No comment
71	1772-062-249_D05	226	170	227.982	45.628	23.683	9	102	176	220	227.982	15.715	4.709	4	28	227.982	48.299	31.41	9	137	176	220	227.982	12.81	3.588	4	20	0-No Error	No comment
72	1772-062-249_D06	256	168	227.982	16.088	4.78	2	29	206	218	227.982	16.08	4.925	4	28	227.982	11.175	4.141	0	23	206	218	227.982	12.007	4.186	3	22	1-No cell	No comment
73	1772-062-249_D07	229	170	227.982	25.832	6.665	11	45	179	220	227.982	15.912	4.826	6	29	227.982	27.109	9.096	7	50	179	220	227.982	12.117	4.434	3	26	0-No Error	No comment
74	1772-062-249_D08	259	169	227.982	23.445	7.907	7	47	209	219	227.982	17.175	4.566	6	30	227.982	20.898	10.058	1	49	209	219	227.982	11.022	4.693	1	21	0-No Error	No comment
75	1772-062-249_D09	229	171	227.982	20.905	5.344	9	35	179	221	227.982	15.737	4.827	2	29	227.982	35.555	9.602	13	57	179	221	227.982	11.693	4.278	0	21	0-No Error	No comment
76	1772-062-249_D10	224	169	227.982	16.307	4.174	4	26	174	219	227.982	16.35	4.593	4	29	227.982	10.489	4.185	0	20	174	219	227.982	11.65	4.503	2	23	1-No cell	No comment
77	1772-062-249_D11	258	168	227.982	28.482	9.359	10	48	208	218	227.982	16.54	4.224	4	27	227.982	12.073	4.233	1	22	208	218	227.982	11.883	4.21	1	27	0-No Error	No comment
78	1772-062-249_D12	225	169	227.982	36.518	6.56	18	54	175	219	227.982	15.65	4.915	6	26	227.982	11.942	4.176	3	22	175	219	227.982	12.474	3.89	3	22	0-No Error	No comment
79	1772-062-249_E01	260	169	227.982	39.832	15.853	14	82	210	219	227.982	19.095	4.597	7	33	227.982	17.131	6.814	2	40	210	219	227.982	11.62	4.462	1	24	0-No Error	No comment
80	1772-062-249_E02	227	171	227.982	17.701	4.45	3	27	177	221	227.982	15.73	4.273	5	32	227.982	22.664	4.868	14	36	177	221	227.982	10.949	4.245	2	22	0-No Error	No comment
81	1772-062-249_E03	259	170	227.982	18.555	5.788	6	31	209	220	227.982	15.985	4.622	8	32	227.982	21.416	8.908	5	50	209	220	227.982	11.949	4.415	0	22	0-No Error	No comment
82	1772-062-249_E04	257	168	227.982	39.029	8.425	19	63	207	218	227.982	16.839	5.134	6	34	227.982	33.38	8.06	11	55	207	218	227.982	11.234	4.353	0	22	0-No Error	No comment
83	1772-062-249_E05	222	169	227.982	16.416	4.628	2	29	172	219	227.982	16.285	4.788	4	32	227.982	17.613	4.919	7	28	172	219	227.982	11.095	4.169	2	25	3-OutOfFocus	No comment
84	1772-062-249_E06	256	167	227.982	18.562	4.803	6	30	206	217	227.982	15.818	4.739	4	28	227.982	15.752	5.084	5	29	206	217	227.982	11.912	3.992	2	22	0-No Error	No comment
85	1772-062-249_E08	260	170	227.982	16.912	4.415	5	28	210	220	227.982	16.803	4.611	4	29	227.982	14	4.753	4	30	210	220	227.982	11.27	4.413	1	23	2-Debris	cell does not looks damaged
86	1772-062-249_E09	226	172	227.982	57.839	32.057	15	135	176	222	227.982	16.942	4.216	4	29	227.982	47.971	24.387	10	110	176	222	227.982	11.978	4.079	2	21	0-No Error	No comment
87	1772-062-249_E10	224	172	227.982	32.737	10.086	14	61	174	222	227.982	15.796	4.662	3	31	227.982	12.496	4.439	0	23	174	222	227.982	11.803	3.829	0	22	0-No Error	No comment
88	1772-062-249_E11	256	169	227.982	51.328	26.808	14	113	206	219	227.982	16.007	4.537	5	29	227.982	24.591	11.027	4	56	206	219	227.982	11.526	4.523	1	22	0-No Error	fl. measurement area not optimally selected
89	1772-062-249_F01	258	170	227.982	19.219	4.715	7	33	208	220	227.982	16.934	4.426	6	27	227.982	28.117	8.809	11	51	208	220	227.982	11.81	4.732	0	23	0-No Error	No comment
90	1772-062-249_F02	225	172	227.982	16.898	4.14	7	28	175	222	227.982	15.489	4.547	4	26	227.982	12.117	4.489	2	22	175	222	227.982	12.328	4.042	3	24	3-OutOfFocus	No comment
91	1772-062-249_F03	259	172	227.982	16.219	4.342	6	29	209	222	227.982	17.168	4.791	5	27	227.982	11.438	3.743	1	22	209	222	227.982	12.365	4.128	0	23	1-No cell	No comment
92	1772-062-249_F04	255	171	227.982	25.029	5.083	11	36	205	221	227.982	19.182	4.677	9	34	227.982	41.146	6.607	24	57	205	221	227.982	21.839	4.517	7	34	3-OutOfFocus	No comment
93	1772-062-249_F05	223	171	227.982	54.109	8.497	34	76	173	221	227.982	15.131	4.117	5	28	227.982	58.431	11.11	37	85	173	221	227.982	11.723	3.966	0	23	0-No Error	No comment
94	1772-062-249_F06	256	169	227.982	15.774	4.345	5	28	206	219	227.982	17.19	4.311	1	28	227.982	11.978	4.151	1	21	206	219	227.982	11.715	4.112	1	21	1-No cell	No comment
95	1772-062-249_F07	227	173	227.982	17.263	4.725	5	29	177	223	227.982	15.095	4.188	2	26	227.982	15.08	5.472	0	30	177	223	227.982	11.182	4.161	0	23	0-No Error	No comment
96	1772-062-249_F08	257	171	227.982	41.664	13.481	17	74	207	221	227.982	15.832	4.383	6	28	227.982	44.781	18.29	15	88	207	221	227.982	9.701	3.971	1	21	0-No Error	No comment
97	1772-062-249_F09	225	172	227.982	25.314	6.894	10	42	175	222	227.982	16.117	4.27	5	29	227.982	38.109	9.481	17	62	175	222	227.982	11.197	3.755	3	21	0-No Error	No comment
