"Label" "Cellcoord.X" "Cellcoord.Y" "area" "mean.ch2" "std.ch2" "min.ch2" "max.ch2" "BGcoord.ch2.X" "BGcoord.ch2.Y" "bg.area.ch2" "bg.mean.ch2" "bg.std.ch2" "bg.min.ch2" "bg.max.ch2" "area.ch3" "mean.ch3" "std.ch3" "min.ch3" "max.ch3" "BGcoord.ch3.X" "BGcoord.ch3.Y" "bg.area.ch3" "bg.mean.ch3" "bg.std.ch3" "bg.min.ch3" "bg.max.ch3" "Error" "Comment" "Well" "Run" "discard" "r.mean.ch2" "r.mean.ch3"
"1" "1772-062-248_A01" 363 252 227.982 35.562 9.877 18 62 313 302 227.982 16.175 4.46 5 32 227.982 118.445 76.088 15 279 313 302 227.982 17.591 4.471 5 30 "0-No Error" "No comment" "A01" "1772-062-248" FALSE 18.8318225806452 101.1015
"2" "1772-062-248_A02" 329 253 227.982 16.263 3.81 7 25 279 303 227.982 16.818 4.541 5 29 227.982 17.277 4.632 3 27 279 303 227.982 17.036 4.295 8 28 "1-No cell" "No comment" "A02" "1772-062-248" TRUE -0.467177419354837 -0.0664999999999978
"3" "1772-062-248_A03" 362 253 227.982 22 4.932 10 35 312 303 227.982 16.869 4.33 5 31 227.982 50.796 22.343 12 107 312 303 227.982 17.036 4.243 8 27 "0-No Error" "No comment" "A03" "1772-062-248" FALSE 5.26982258064516 33.4525
"4" "1772-062-248_A04" 362 254 227.982 46.336 5.138 29 59 312 304 227.982 16.839 4.364 7 29 227.982 18.35 4.66 8 33 312 304 227.982 17.584 4.156 7 30 "3-OutOfFocus" "No comment" "A04" "1772-062-248" TRUE 29.6058225806452 1.0065
"5" "1772-062-248_A05" 328 254 227.982 32.131 5.342 22 51 278 304 227.982 16.905 4.627 6 29 227.982 48.19 6.16 33 65 278 304 227.982 16.934 4.166 6 28 "3-OutOfFocus" "No comment" "A05" "1772-062-248" TRUE 15.4008225806452 30.8465
"6" "1772-062-248_A06" 361 252 227.982 28.591 6.298 13 46 311 302 227.982 17.168 4.223 7 32 227.982 64.453 18.624 27 105 311 302 227.982 17.234 4.205 5 29 "0-No Error" "No comment" "A06" "1772-062-248" FALSE 11.8608225806452 47.1095
"7" "1772-062-248_A07" 330 253 227.982 21.482 5.615 9 38 280 303 227.982 16.438 4.942 3 28 227.982 84.036 22.192 35 124 280 303 227.982 16.956 4.065 7 26 "0-No Error" "No comment" "A07" "1772-062-248" FALSE 4.75182258064516 66.6925
"8" "1772-062-248_A08" 363 252 227.982 15.62 4.476 5 26 313 302 227.982 16.869 4.289 5 27 227.982 16.431 4.724 3 29 313 302 227.982 17.058 4.668 5 34 "1-No cell" "No comment" "A08" "1772-062-248" TRUE -1.11017741935484 -0.912499999999998
"9" "1772-062-248_A09" 329 252 227.982 29.723 7.19 15 52 279 302 227.982 16 4.67 2 31 227.982 118.847 31.549 66 184 279 302 227.982 16.985 4.84 3 30 "0-No Error" "No comment" "A09" "1772-062-248" FALSE 12.9928225806452 101.5035
"10" "1772-062-248_A10" 328 252 227.982 15.774 4.16 7 25 278 302 227.982 16.387 4.994 1 32 227.982 16.686 3.938 9 28 278 302 227.982 17.015 4.315 5 27 "1-No cell" "No comment" "A10" "1772-062-248" TRUE -0.956177419354839 -0.657499999999999
"11" "1772-062-248_A11" 360 251 227.982 21.803 6.127 8 38 310 301 227.982 16.81 4.363 3 28 227.982 39.905 24.252 8 99 310 301 227.982 17.073 4.387 4 29 "0-No Error" "No comment" "A11" "1772-062-248" FALSE 5.07282258064516 22.5615
"12" "1772-062-248_A12" 328 253 227.982 51.891 10.025 27 74 278 303 227.982 16.657 4.17 6 26 227.982 69.153 19.405 31 111 278 303 227.982 17.511 4.584 7 30 "0-No Error" "No comment" "A12" "1772-062-248" FALSE 35.1608225806452 51.8095
"13" "1772-062-248_B01" 360 249 227.982 33.964 6.176 21 53 310 299 227.982 17.058 4.5 5 27 227.982 85.985 15.82 41 120 310 299 227.982 17.65 4.395 5 28 "0-No Error" "No comment" "B01" "1772-062-248" FALSE 17.2338225806452 68.6415
"14" "1772-062-248_B02" 329 250 227.982 120.876 23.144 67 172 279 300 227.982 16.219 4.363 2 25 227.982 216.847 46.455 116 311 279 300 227.982 17.372 4.836 7 32 "0-No Error" "No comment" "B02" "1772-062-248" TRUE 104.145822580645 199.5035
"15" "1772-062-248_B03" 363 251 227.982 97.547 41.282 30 191 313 301 227.982 16.759 4.522 5 27 227.982 238.861 90.786 93 428 313 301 227.982 17.635 4.309 4 29 "0-No Error" "No comment" "B03" "1772-062-248" TRUE 80.8168225806452 221.5175
"16" "1772-062-248_B04" 361 251 227.982 21.336 5.201 8 35 311 301 227.982 17.555 4.357 2 31 227.982 25.496 5.953 11 40 311 301 227.982 18.394 3.836 10 28 "0-No Error" "No comment" "B04" "1772-062-248" FALSE 4.60582258064516 8.1525
"17" "1772-062-248_B05" 328 250 227.982 61.168 19.564 21 102 278 300 227.982 16.117 4.48 7 27 227.982 167.234 77.879 31 309 278 300 227.982 17.869 4.831 5 32 "2-Debris" "No comment" "B05" "1772-062-248" TRUE 44.4378225806452 149.8905
"18" "1772-062-248_B06" 361 250 227.982 17.38 4.334 7 29 311 300 227.982 17.299 4.853 2 33 227.982 16.854 4.452 5 29 311 300 227.982 17.146 4.465 5 28 "1-No cell" "No comment" "B06" "1772-062-248" TRUE 0.649822580645161 -0.4895
"19" "1772-062-248_B07" 329 251 227.982 17.175 4.961 6 32 279 301 227.982 16.095 4.202 6 25 227.982 16.328 4.344 1 28 279 301 227.982 16.912 4.591 5 27 "1-No cell" "No comment" "B07" "1772-062-248" TRUE 0.444822580645162 -1.0155
"20" "1772-062-248_B08" 362 249 227.982 47.628 9.365 26 69 312 299 227.982 17.022 4.285 7 28 227.982 75.372 20.895 36 118 312 299 227.982 18.102 4.962 0 32 "0-No Error" "No comment" "B08" "1772-062-248" FALSE 30.8978225806452 58.0285
"21" "1772-062-248_B09" 330 252 227.982 16.818 4.1 7 27 280 302 227.982 16.672 4.73 4 28 227.982 16.92 4.3 4 29 280 302 227.982 17.657 4.47 6 27 "1-No cell" "No comment" "B09" "1772-062-248" TRUE 0.0878225806451631 -0.423499999999997
