../DDBJ/1772-062-249_B08.2.fastq.bz2	Input file name.
04-10-2015; 9:45pm	Date and Time
20.000000	selected threshold
1272784	total input reads
1154153	successfully extracted
90.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1281	low complexity
117350	match artifacts:
16441	Nextera_501
80466	Nextera_502
11	Nextera_503
5	Nextera_504
8	Nextera_505
6	Nextera_506
1	Nextera_507
20	Nextera_701
1	Nextera_502_Reversed:
1	Nextera_508_Reversed:
1	rRNA_5.8S
2924	rRNA_18S
157	rRNA_28S
10312	EC2_RNA_SPIKE_1_(750_bp)
940	EC15_RNA_SPIKE_4_(1000_bp)
135	EC18_RNA_SPIKE_7_(1474bp)
4494	HPV18
1427	HPV18_as
