../DDBJ/1772-062-249_G09.2.fastq.bz2	Input file name.
04-11-2015;12:01am	Date and Time
20.000000	selected threshold
1171668	total input reads
1060045	successfully extracted
90.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1143	low complexity
110480	match artifacts:
14371	Nextera_501
779	Nextera_502
1	Nextera_503
2902	Nextera_504
41	Nextera_505
2495	Nextera_506
65592	Nextera_507
2	Nextera_508
17	Nextera_701
12	rRNA_5.8S
3153	rRNA_18S
171	rRNA_28S
12796	EC2_RNA_SPIKE_1_(750_bp)
948	EC15_RNA_SPIKE_4_(1000_bp)
106	EC18_RNA_SPIKE_7_(1474bp)
5323	HPV18
1771	HPV18_as
