../DDBJ/1772-064-103_C05.1.fastq.bz2	Input file name.
04-11-2015; 2:12am	Date and Time
20.000000	selected threshold
1974774	total input reads
1665825	successfully extracted
84.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6110	low complexity
302839	match artifacts:
1	Nextera_501
50808	Nextera_701
40	Nextera_702
226	Nextera_703
31	Nextera_704
232866	Nextera_705
27	Nextera_706
22	Nextera_707
36	Nextera_708
24	Nextera_710
32	Nextera_711
41	Nextera_712
19	Nextera_701_Reversed:
3	Nextera_702_Reversed:
18	Nextera_703_Reversed:
29	Nextera_704_Reversed:
1532	Nextera_705_Reversed:
5	Nextera_706_Reversed:
4	Nextera_707_Reversed:
4	Nextera_708_Reversed:
1	Nextera_710_Reversed:
11	Nextera_711_Reversed:
8	Nextera_712_Reversed:
1	rRNA_5.8S
238	rRNA_18S
32	rRNA_28S
14714	EC2_RNA_SPIKE_1_(750_bp)
542	EC15_RNA_SPIKE_4_(1000_bp)
10	EC18_RNA_SPIKE_7_(1474bp)
1126	HPV18
388	HPV18_as
